Nom du magasin;Date de la période;Code article;Libellé article;Qté;Achat HT facturation;Achat HT cession;Ventes HT;Ventes TTC;Marge HT;Marge %
"""ANGLET 0047""";19/07/2025;"""3701754708439""";"""Bouquet chaud""";3;32,37;32,37;40,88;44,97;8,51;20,82
"""ANGLET 0047""";19/07/2025;"""3701754708484""";"""Autre bouquet froid""";1;7,19;7,19;9,08;9,99;1,89;20,81
"""ANGLET 0047""";19/07/2025;"""3701754708996""";"""Autre bouquet chaud""";3;21,57;21,57;27,25;29,97;5,68;20,84
"""ANGLET 0047""";19/07/2025;"""3701754709740""";"""Autre bouquet chaud""";2;17,26;17,26;21,80;23,98;4,54;20,83
"""ANGLET 0047""";19/07/2025;"""3701754700006""";"""Bottes Rose""";4;17,24;17,24;21,78;23,96;4,54;20,84
"""ANGLET 0047""";19/07/2025;"""3701754700020""";"""Bottes Rose""";1;2,87;2,87;3,63;3,99;0,76;20,94
"""ANGLET 0047""";19/07/2025;"""3701754711019""";"""Autres brassées""";1;7,19;7,19;9,08;9,99;1,89;20,81
"""ANGLET 0047""";19/07/2025;"""3701754711507""";"""Bottes Santini""";1;4,31;4,31;5,45;5,99;1,14;20,92
"""ANGLET 0047""";19/07/2025;"""3701754712023""";"""Autres bottes""";6;43,14;43,14;54,49;59,94;11,35;20,83
"""ANGLET 0047""";19/07/2025;"""3701754712436""";"""Autres brassées""";1;4,31;4,31;5,45;5,99;1,14;20,92
"""ANGLET 0047""";19/07/2025;"""3701754700327""";"""Plantes vertes""";2;7,18;7,18;9,07;9,98;1,89;20,84
"""ANGLET 0047""";19/07/2025;"""3701754700532""";"""Plantes vertes""";1;2,87;2,87;3,63;3,99;0,76;20,94
"""ANGLET 0047""";19/07/2025;"""3701754700969""";"""Plantes vertes""";2;14,38;14,38;18,16;19,98;3,78;20,81
"""ANGLET 0047""";19/07/2025;"""3701754701195""";"""Plantes vertes""";2;11,50;11,50;14,53;15,98;3,03;20,85
"""ANGLET 0047""";19/07/2025;"""3701754703724""";"""Lys""";1;10,79;10,79;13,63;14,99;2,84;20,84
"""ANGLET 0047""";19/07/2025;"""3701754705704""";"""Kalanchoe""";1;10,79;10,79;13,63;14,99;2,84;20,84
"""ANGLET 0047""";19/07/2025;"""3701754705865""";"""Kalanchoe""";1;5,03;5,03;6,35;6,99;1,32;20,79
"""ANGLET 0047""";19/07/2025;"""3701754707616""";"""Phalaenopsis""";2;14,38;14,38;18,16;19,98;3,78;20,81
"""ANGLET 0047""";19/07/2025;"""3701754707203""";"""Rosier""";1;2,87;2,87;3,63;3,99;0,76;20,94
